2021. 07. 06. 22:27:55	Elapsed time: 18 ms	Analyzed word: fiúk (2)
2021. 07. 06. 22:27:55	Elapsed time: 4 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:55	Elapsed time: 347 ms	Analyzed word: jeges (4)
2021. 07. 06. 22:27:55	Elapsed time: 212 ms	Analyzed word: kávét (4)
2021. 07. 06. 22:27:56	Elapsed time: 597 ms	Analyzed word: kedvelik (7)
2021. 07. 06. 22:27:56	Elapsed time: 1195 ms	Analyzed sentence: A fiúk a jeges kávét kedvelik
2021. 07. 06. 22:27:56	Elapsed time: 8 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:56	Elapsed time: 8 ms	Analyzed word: tanár (1)
2021. 07. 06. 22:27:56	Elapsed time: 181 ms	Analyzed word: kapkodva (3)
2021. 07. 06. 22:27:56	Elapsed time: 8 ms	Analyzed word: írt (4)
2021. 07. 06. 22:27:56	Elapsed time: 4 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:56	Elapsed time: 194 ms	Analyzed word: táblára (1)
2021. 07. 06. 22:27:56	Elapsed time: 416 ms	Analyzed sentence: A tanár kapkodva írt a táblára
2021. 07. 06. 22:27:56	Elapsed time: 7 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:56	Elapsed time: 121 ms	Analyzed word: legbátrabb (3)
2021. 07. 06. 22:27:56	Elapsed time: 26 ms	Analyzed word: lányt (1)
2021. 07. 06. 22:27:57	Elapsed time: 177 ms	Analyzed word: lefesti (9)
2021. 07. 06. 22:27:57	Elapsed time: 4 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:57	Elapsed time: 47 ms	Analyzed word: művész (2)
2021. 07. 06. 22:27:57	Elapsed time: 395 ms	Analyzed sentence: A legbátrabb lányt lefesti a művész
2021. 07. 06. 22:27:57	SA performance testing stoped	Performance: 28 of 50 (56,00000000000001%)	Elapsed time: 49146 ms
2021. 07. 06. 23:09:45	Elapsed time: 1635 ms	Analyzed word: alszanak (3)
2021. 07. 06. 23:09:58	Elapsed time: 1008 ms	Analyzed word: Alszanak (3)
2021. 07. 06. 23:09:58	Elapsed time: 22 ms	Analyzed word: a (4)
